Date,Open,High,Low,Close,Volume,Adj Close
2015-11-02,7.45,7.47,7.41,7.44,7285800,7.44
2015-10-30,7.43,7.47,7.41,7.42,18362700,7.42
2015-10-29,6.64,7.35,6.64,7.32,58321500,7.32
2015-10-28,6.56,6.72,6.54,6.64,8803100,6.64
2015-10-27,6.66,6.68,6.53,6.58,8246600,6.58
2015-10-26,6.71,6.75,6.66,6.72,6942700,6.72
2015-10-23,6.80,6.88,6.77,6.81,9741500,6.81
2015-10-22,6.98,7.03,6.96,7.00,7563500,7.00
2015-10-21,6.99,7.01,6.92,6.94,6375800,6.94
2015-10-20,6.91,6.96,6.90,6.96,7374700,6.96
2015-10-19,6.99,7.02,6.96,7.01,6095600,7.01
2015-10-16,6.98,7.02,6.93,7.02,5588700,7.02
2015-10-15,6.93,7.09,6.92,7.07,12166200,7.07
2015-10-14,6.91,6.92,6.85,6.91,13112600,6.91
2015-10-13,6.93,6.94,6.80,6.80,11117500,6.80
2015-10-12,6.92,6.96,6.89,6.91,4479000,6.91
2015-10-09,6.97,7.01,6.90,6.98,12409200,6.98
2015-10-08,6.96,7.06,6.91,7.04,9755000,7.04
2015-10-07,6.99,7.04,6.92,7.04,11190400,7.04
2015-10-06,6.96,7.02,6.92,6.98,17486300,6.98
2015-10-05,6.90,6.98,6.89,6.93,8790700,6.93
2015-10-02,6.73,6.92,6.71,6.91,15366500,6.91
2015-10-01,6.73,6.74,6.60,6.68,9564700,6.68
2015-09-30,6.80,6.83,6.74,6.78,15369600,6.78
2015-09-29,6.49,6.64,6.48,6.58,9803200,6.58
2015-09-28,6.54,6.54,6.45,6.46,9649900,6.46
2015-09-25,6.61,6.65,6.53,6.57,20021200,6.57
2015-09-24,6.61,6.66,6.54,6.66,8849500,6.66
2015-09-23,6.66,6.70,6.60,6.65,9767200,6.65
2015-09-22,6.51,6.55,6.46,6.52,7387800,6.52
2015-09-21,6.65,6.68,6.60,6.62,7274000,6.62
2015-09-18,6.74,6.74,6.58,6.60,12735900,6.60
2015-09-17,6.70,6.83,6.68,6.74,13077200,6.74
2015-09-16,6.70,6.76,6.67,6.72,8617900,6.72
2015-09-15,6.61,6.64,6.57,6.60,6569800,6.60
2015-09-14,6.63,6.64,6.59,6.62,9655700,6.62
2015-09-11,6.53,6.55,6.45,6.51,10198300,6.51
2015-09-10,6.52,6.58,6.50,6.55,9406200,6.55
2015-09-09,6.54,6.58,6.42,6.43,16485100,6.43
2015-09-08,6.34,6.38,6.29,6.37,7242600,6.37
2015-09-04,6.22,6.23,6.14,6.16,6751800,6.16
2015-09-03,6.28,6.36,6.25,6.28,8738300,6.28
2015-09-02,6.22,6.24,6.13,6.22,10760500,6.22
2015-09-01,6.11,6.18,6.06,6.11,12230900,6.11
2015-08-31,6.27,6.28,6.18,6.24,10220000,6.24
2015-08-28,6.26,6.37,6.25,6.32,7934400,6.32
2015-08-27,6.32,6.35,6.24,6.32,12208200,6.32
2015-08-26,6.37,6.37,6.09,6.25,24147000,6.25
2015-08-25,6.25,6.30,6.04,6.05,22625100,6.05
2015-08-24,5.84,5.88,5.71,5.87,28229100,5.87
2015-08-21,6.28,6.33,6.11,6.14,14440700,6.14
2015-08-20,6.40,6.42,6.23,6.23,8673500,6.23
2015-08-19,6.50,6.52,6.40,6.46,10428200,6.46
2015-08-18,6.64,6.65,6.58,6.60,5545400,6.60
2015-08-17,6.54,6.63,6.51,6.61,5744600,6.61
2015-08-14,6.62,6.64,6.57,6.61,5260400,6.61
2015-08-13,6.66,6.72,6.64,6.64,7842600,6.64
2015-08-12,6.57,6.67,6.51,6.64,12271500,6.64
2015-08-11,6.72,6.73,6.58,6.64,10639100,6.64
2015-08-10,6.77,6.89,6.77,6.87,4832300,6.87
2015-08-07,6.77,6.78,6.71,6.78,7225100,6.78
2015-08-06,6.89,6.90,6.80,6.81,9321600,6.81
2015-08-05,6.89,6.93,6.85,6.85,6822000,6.85
2015-08-04,6.93,6.96,6.84,6.87,8036300,6.87
2015-08-03,7.00,7.03,6.91,6.93,9503700,6.93
2015-07-31,7.02,7.10,7.00,7.05,12744600,7.05
2015-07-30,6.82,7.05,6.81,7.03,24863600,7.03
2015-07-29,6.57,6.64,6.53,6.59,11339800,6.59
2015-07-28,6.62,6.64,6.55,6.62,11977500,6.62
2015-07-27,6.71,6.74,6.65,6.66,6776000,6.66
2015-07-24,6.87,6.87,6.71,6.74,9584700,6.74
2015-07-23,6.72,6.76,6.70,6.72,11225800,6.72
2015-07-22,6.71,6.73,6.66,6.69,8269300,6.69
2015-07-21,6.75,6.79,6.72,6.75,9112500,6.75
2015-07-20,6.83,6.84,6.78,6.78,9729800,6.78
2015-07-17,6.84,6.85,6.76,6.79,13489400,6.79
2015-07-16,6.74,6.77,6.64,6.68,12200500,6.68
2015-07-15,6.71,6.73,6.62,6.65,10412300,6.65
2015-07-14,6.67,6.74,6.65,6.73,19793400,6.73
2015-07-13,6.71,6.77,6.69,6.71,14859400,6.71
2015-07-10,6.81,6.81,6.64,6.70,19590900,6.70
2015-07-09,6.53,6.55,6.45,6.45,17691000,6.45
2015-07-08,6.38,6.43,6.31,6.32,16885700,6.32
2015-07-07,6.41,6.55,6.26,6.53,29292100,6.53
2015-07-06,6.51,6.66,6.45,6.48,16717700,6.48
