Date,Open,High,Low,Close,Volume,Adj Close
2015-11-02,45.990002,48.540001,45.689999,47.939999,851300,47.939999
2015-10-30,44.52,45.91,44.139999,45.57,338000,45.57
2015-10-29,46.259998,46.849998,44.00,44.32,592900,44.32
2015-10-28,44.299999,46.50,44.119999,46.009998,421100,46.009998
2015-10-27,44.349998,44.880001,43.50,44.049999,264700,44.049999
2015-10-26,45.279999,45.77,44.41,44.650002,264600,44.650002
2015-10-23,43.18,45.650002,43.02,45.02,427600,45.02
2015-10-22,43.16,44.110001,42.25,42.880001,250900,42.880001
2015-10-21,44.119999,44.240002,42.057999,42.330002,345500,42.330002
2015-10-20,44.709999,45.50,43.799999,44.009998,525000,44.009998
2015-10-19,43.50,44.84,42.674999,44.290001,407800,44.290001
2015-10-16,42.509998,45.700001,41.619999,43.459999,996800,43.459999
2015-10-15,42.349998,42.888,41.00,42.450001,515500,42.450001
2015-10-14,43.049999,43.419998,41.299999,41.720001,565600,41.720001
2015-10-13,42.610001,44.98,42.200001,43.060001,642000,43.060001
2015-10-12,44.540001,44.73,42.049999,42.610001,599300,42.610001
2015-10-09,45.849998,46.00,43.950001,44.049999,880400,44.049999
2015-10-08,44.700001,46.700001,43.099998,46.220001,1050500,46.220001
2015-10-07,49.279999,49.630001,47.48,48.48,333100,48.48
2015-10-06,49.400002,50.650002,48.849998,48.950001,200500,48.950001
2015-10-05,50.369999,51.25,48.82,49.400002,524100,49.400002
2015-10-02,46.779999,50.66,46.599998,50.110001,623900,50.110001
2015-10-01,47.25,48.25,46.299999,47.169998,524800,47.169998
2015-09-30,47.77,49.080002,46.799999,47.400002,488400,47.400002
2015-09-29,47.939999,48.849998,46.349998,46.900002,317900,46.900002
2015-09-28,49.450001,50.25,47.400002,47.939999,406500,47.939999
2015-09-25,51.50,51.869999,48.84,49.400002,563700,49.400002
2015-09-24,50.00,51.639999,49.400002,50.939999,560600,50.939999
2015-09-23,51.009998,52.509998,50.27,50.380001,304900,50.380001
2015-09-22,51.66,52.549999,49.970001,50.900002,355300,50.900002
2015-09-21,53.50,55.77,52.009998,52.599998,629600,52.599998
2015-09-18,53.209999,54.248001,51.169998,53.16,679600,53.16
2015-09-17,51.459999,55.919998,51.220001,53.790001,1236300,53.790001
2015-09-16,52.110001,52.858002,50.77,51.459999,483900,51.459999
2015-09-15,51.66,54.459999,51.169998,52.18,472900,52.18
2015-09-14,53.779999,53.900002,49.700001,51.98,1152100,51.98
2015-09-11,48.540001,56.689999,48.490002,55.139999,2308400,55.139999
2015-09-10,48.509998,49.779999,48.051998,48.560001,296500,48.560001
2015-09-09,50.009998,51.00,48.419998,48.50,518200,48.50
2015-09-08,48.50,50.25,48.419998,49.27,543800,49.27
2015-09-04,47.290001,48.580002,46.709999,47.810001,349900,47.810001
2015-09-03,49.009998,49.25,47.25,48.110001,394400,48.110001
2015-09-02,48.400002,49.25,47.529999,48.700001,387000,48.700001
2015-09-01,48.189999,48.970001,47.16,48.27,462200,48.27
2015-08-31,51.00,51.00,48.00,49.939999,700300,49.939999
2015-08-28,50.00,51.175999,49.34,50.610001,513600,50.610001
2015-08-27,49.509998,51.349998,46.98,50.450001,929400,50.450001
2015-08-26,46.529999,48.380001,44.959999,47.68,868700,47.68
2015-08-25,49.709999,49.720001,44.599998,44.889999,1041900,44.889999
2015-08-24,42.00,47.50,41.50,45.34,1443500,45.34
2015-08-21,49.439999,50.00,46.00,47.50,1838600,47.50
2015-08-20,52.41,53.98,50.50,50.650002,1359400,50.650002
2015-08-19,55.349998,55.377998,51.50,53.150002,1869200,53.150002
