Date                Symbol   Order   Shares   
2014-07-29          AAPL     SELL     100   
2014-08-20          AAPL     SELL     100   
2014-10-17          AAPL     BUY      100   
2014-10-27          AAPL     SELL     100   
2014-12-17          AAPL     BUY      100   
2015-01-06          AAPL     BUY      100   
2015-01-30          AAPL     SELL     100   
2015-03-12          AAPL     BUY      100   
2015-04-28          AAPL     SELL     100   
2015-06-30          AAPL     BUY      100   
2015-07-21          AAPL     SELL     100   
2015-08-05          AAPL     BUY      100   
2015-10-26          AAPL     SELL     100   
2015-09-08          AAPL     SELL     100   
2015-07-22          AAPL     BUY      100   
2015-07-15          AAPL     SELL     100   
2015-04-30          AAPL     BUY      100   
2015-03-18          AAPL     SELL     100   
2015-03-05          AAPL     BUY      100   
2015-01-08          AAPL     SELL     100   
2014-12-26          AAPL     SELL     100   
2014-12-08          AAPL     BUY      100   
2014-10-20          AAPL     SELL     100   
2014-09-03          AAPL     BUY      100   
2014-07-31          AAPL     BUY      100   Date                Symbol   Order   Shares   
2014-07-29          AAPL     SELL     100   
2014-08-20          AAPL     SELL     100   
2014-10-17          AAPL     BUY      100   
2014-10-27          AAPL     SELL     100   
2014-12-17          AAPL     BUY      100   
2015-01-06          AAPL     BUY      100   
2015-01-30          AAPL     SELL     100   
2015-03-12          AAPL     BUY      100   
2015-04-28          AAPL     SELL     100   
2015-06-30          AAPL     BUY      100   
2015-07-21          AAPL     SELL     100   
2015-08-05          AAPL     BUY      100   
2015-10-26          AAPL     SELL     100   
2015-09-08          AAPL     SELL     100   
2015-07-22          AAPL     BUY      100   
2015-07-15          AAPL     SELL     100   
2015-04-30          AAPL     BUY      100   
2015-03-18          AAPL     SELL     100   
2015-03-05          AAPL     BUY      100   
2015-01-08          AAPL     SELL     100   
2014-12-26          AAPL     SELL     100   
2014-12-08          AAPL     BUY      100   
2014-10-20          AAPL     SELL     100   
2014-09-03          AAPL     BUY      100   
2014-07-31          AAPL     BUY      100   
