Date,Symbol,Order,Shares
7/18/13,GRPN,BUY,100
10/9/13,GRPN,SELL,100
10/9/13,GRPN,SELL,100
11/18/13,GRPN,BUY,100
11/18/13,GRPN,BUY,100
11/29/13,GRPN,SELL,100
11/29/13,GRPN,SELL,100
12/11/13,GRPN,BUY,100
12/11/13,GRPN,BUY,100
1/22/14,GRPN,SELL,100
1/22/14,GRPN,SELL,100
6/18/14,GRPN,BUY,100
6/18/14,GRPN,BUY,100
7/18/14,GRPN,SELL,100
7/18/14,GRPN,SELL,100
8/4/14,GRPN,BUY,100
8/4/14,GRPN,BUY,100
8/13/14,GRPN,SELL,100
8/13/14,GRPN,SELL,100
8/28/14,GRPN,BUY,100
8/28/14,GRPN,BUY,100
9/30/14,GRPN,SELL,100
9/30/14,GRPN,SELL,100
10/31/14,GRPN,BUY,100
10/31/14,GRPN,BUY,100
1/20/15,GRPN,SELL,100
1/20/15,GRPN,SELL,100
2/12/15,GRPN,BUY,100
2/12/15,GRPN,BUY,100
3/18/15,GRPN,SELL,100
3/18/15,GRPN,SELL,100
9/11/15,GRPN,BUY,100
9/11/15,GRPN,BUY,100
9/17/15,GRPN,SELL,100
9/17/15,GRPN,SELL,100
10/22/15,GRPN,BUY,100
10/22/15,GRPN,BUY,100
