Date,Symbol,Order,Shares
7/29/2014,AAPL,SELL,100
7/31/2014,AAPL,BUY,100
8/20/2014,AAPL,SELL,100
9/3/2014,AAPL,BUY,100
10/17/2014,AAPL,BUY,100
10/20/2014,AAPL,SELL,100
10/27/2014,AAPL,SELL,100
12/8/2014,AAPL,BUY,100
12/17/2014,AAPL,BUY,100
12/26/2014,AAPL,SELL,100
1/6/2015,AAPL,BUY,100
1/8/2015,AAPL,SELL,100
1/30/2015,AAPL,SELL,100
3/5/2015,AAPL,BUY,100
3/12/2015,AAPL,BUY,100
3/18/2015,AAPL,SELL,100
4/28/2015,AAPL,SELL,100
4/30/2015,AAPL,BUY,100
6/30/2015,AAPL,BUY,100
7/15/2015,AAPL,SELL,100
7/21/2015,AAPL,SELL,100
7/22/2015,AAPL,BUY,100
8/5/2015,AAPL,BUY,100
9/8/2015,AAPL,SELL,100
10/26/2015,AAPL,SELL,100
